,max_depths,Training accuracy,Testing accuracy
0,1.0,0.1731534090909091,0.15738636363636363
1,3.0,0.38238636363636364,0.36704545454545456
2,5.0,0.5498579545454545,0.5056818181818182
3,7.0,0.6509943181818182,0.5545454545454546
4,9.0,0.7688920454545455,0.5806818181818182
5,11.0,0.8616477272727273,0.5875
6,13.0,0.9282670454545454,0.5897727272727272
7,15.0,0.9688920454545454,0.5954545454545455
8,17.0,0.9876420454545455,0.5914772727272727
9,19.0,0.9965909090909091,0.6022727272727273
10,21.0,0.9990056818181818,0.6039772727272728
11,23.0,0.9997159090909091,0.5971590909090909
12,25.0,0.9998579545454546,0.6039772727272728
13,27.0,0.9998579545454546,0.5948863636363636
14,29.0,0.9998579545454546,0.5931818181818181
15,32.0,0.9998579545454546,0.5909090909090909
